"","KigC100","KigC1200","KigC150","KigC250","KigC300","KigCa35","KigCa65","KigCas0","KigOff0","KigOff120","KigOff40","KigOff80","KigOffSurface","MahC100","MahC200","MahC400","MahCa10","MahCa50","MahCa65","Mahsurface_10","Mahsurface_6","Mahsurface_7","Mahsurface_8","Mahsurface_9"
"Acidobacteria",0.29,0.69,0.47,0.4,0.51,0.26,2.15,0.27,0.27,2.34,0.25,3.09,0.19,0.45,0.5,0.48,0.39,1.78,1.72,0.2,0.15,0.16,0.23,0.19
"Actinobacteria (non ac or Iluma)",0.93,1.29,1.2,1.55,1.28,1.53,1.37,1.6,1.68,0.75,1.37,1.09,1.44,1.39,1.21,1.77,2.07,1.23,1.25,2.07,1.97,2,2.78,2.24
"Actinobacteria ac (not acI)",3.65,5.34,4.87,7.02,5.03,7.95,5.38,7.87,9.1,2.41,7.24,4.28,7.4,6.92,4.7,8.3,11.56,5,4.91,11.14,10.94,10.75,14.02,12.19
"Actinobacteria acI",3.19,4.09,3.77,5.46,3.72,7.44,4.83,6.97,7.21,3.17,7.32,3.81,7.01,6.07,3.43,5.95,8.4,4.68,4.73,8.35,10.56,9.21,10.04,9.67
"Actinobacteria Iluma",6.46,7.97,7.65,9.77,7.86,11.96,10.69,12.04,13.55,9.91,13.3,17.13,12.29,10.36,6.67,10.23,15.71,11.1,11.4,14.1,14.26,13.22,16.61,15.23
"Aenigmarchaeota",0.02,0.61,0.11,0.93,1.12,0,0,0,0,0,0,0,0,0,0.89,1.17,0,0,0,0,0,0,0,0
"Alphaproteobacteria (non LD12)",0.3,0.48,0.39,0.38,0.4,0.39,0.61,0.48,0.38,0.71,0.41,0.85,0.45,0.46,0.4,0.44,0.49,0.62,0.8,0.47,0.42,0.43,0.42,0.5
"Alphaproteobacteria LD12",13.43,13.92,12.08,15.36,11.69,35.86,9.67,34.59,32.24,4.59,46.48,8.48,39.88,24.13,13.23,14.43,27.93,9.95,7.22,32.16,36.24,37.5,33.07,33.1
"Altiarchaeota",0.03,0.26,0.21,0.56,0.49,0,0,0,0,0,0,0,0,0.01,0.87,0.47,0,0,0.01,0,0,0,0,0
"Armatimonadetes",0.57,0.98,0.79,0.79,1.18,0.01,0.18,0.01,0,0.23,0,0.24,0,0.22,1,0.99,0.01,0.17,0.26,0,0,0,0,0
"Bacteroidetes",1.12,1.03,1.19,1.36,0.97,1.93,2.16,1.77,0.98,0.91,1.07,0.62,1.27,1.27,0.98,0.86,1.58,1.54,1.71,1.84,2.48,2.02,1.73,3.02
"Bathyarchaeota",0.09,0.35,0.25,0.62,0.63,0,0,0,0,0,0,0,0,0.02,0.68,0.59,0,0,0.01,0,0,0,0,0
"Betaproteobacteria",2.77,1.69,2.09,1.48,1.61,1.31,2.32,1.32,1.29,1.92,1.05,2.1,1.23,1.93,1.83,1.4,1.3,2.09,6.19,1.25,0.93,1.4,1.21,1.22
"Calditrichaeota",0.24,0.48,0.3,0.72,0.67,0,0.02,0,0,0.02,0,0,0,0.05,0.77,0.75,0,0,0.37,0,0,0,0,0
"Chlamydiae",0.26,0.34,0.25,0.32,0.28,0.7,0.38,0.61,0.21,0.22,0.21,0.15,0.22,0.32,0.23,0.23,0.34,0.24,0.18,0.35,0.4,0.33,0.36,0.3
"Chlorobi",35.66,7.41,23.53,4.71,10.12,0.01,0.17,0,0,0.03,0,0,0,11.24,6.1,1.8,0,0,1.7,0,0,0,0,0
"Chloroflexi",0.64,1.63,1.05,1.62,1.91,0.02,0.5,0.01,0.01,0.68,0.01,1.09,0.01,0.26,2.24,1.65,0.02,0.33,0.44,0.01,0.01,0.01,0.01,0.01
"CP Aminicemantes (OP8)",0.18,0.46,0.44,0.66,0.69,0,0,0,0,0,0,0,0,0.05,0.85,0.76,0,0,0.02,0,0,0,0,0
"CP BRC1",0,0.63,0.01,0.06,0.21,0,0,0,0,0,0,0,0,0,0.06,0.35,0,0,0,0,0,0,0,0
"CP Eisenbacteria",0.97,1.24,1.22,1.82,2.23,0,0,0,0,0,0,0,0,0.23,2.51,2.28,0,0,0.08,0,0,0,0,0
"CP Gottesmanbacteria",0.18,1.02,0.55,1.36,1.34,0,0,0,0,0,0,0,0,0.06,1.39,1.23,0,0,0.02,0,0,0,0,0
"CP Gribaldobacteria",0.02,0.36,0.07,0.36,0.48,0,0,0,0,0,0,0,0,0,0.39,0.53,0,0,0,0,0,0,0,0
"CP Handelsmanbacteria",0.09,0.33,0.24,0.21,0.2,0.01,1.71,0,0,2.2,0,1.34,0,0.18,0.34,0.28,0.04,1.46,0.74,0,0,0,0,0
"CP Harrisonbacteria",0.2,0.48,0.36,0.22,0.31,0.03,1.71,0.02,0.02,3.42,0.05,1.82,0.03,0.24,0.31,0.31,0.05,2.03,1.03,0.01,0.04,0.01,0.01,0.02
"CP Hydrogenedentes",0.15,0.03,0.06,0.03,0.06,0,0.01,0,0,0.01,0,0.01,0,0.06,0.08,0.04,0,0,0.61,0,0,0,0,0
"CP Kaiserbacteria",1,0.37,0.63,0.25,0.41,0.08,0.3,0.08,0.08,0.27,0.06,0.2,0.06,0.48,0.48,0.26,0.08,0.14,3.17,0.05,0.05,0.05,0.06,0.04
"CP Liptonbacteria",0.09,0.29,0.2,0.18,0.19,0,1.34,0,0,2.23,0,0.64,0,0.22,0.3,0.32,0.01,1.92,0.71,0,0,0,0,0
"CP Moranbacteria",0.37,0.15,0.69,0.15,0.21,0,0,0,0,0,0,0,0,0.09,0.19,0.09,0,0,0.05,0,0,0,0,0
"CP Nealsonbacteria",0.06,0.54,0.24,0.91,0.88,0,0.01,0,0,0.01,0,0,0,0.02,0.86,0.89,0,0.01,0.02,0,0,0,0,0
"CP Peribacteria",0.16,0.46,0.27,0.24,0.33,0.03,1.5,0.02,0.01,2.21,0.02,2.14,0.02,0.24,0.23,0.35,0.06,2.08,1.6,0.01,0.03,0.01,0.02,0.04
"CP Perigrinibacteria",0.05,0.15,0.07,0.07,0.09,0,0.83,0,0,0.67,0,0.28,0,0.07,0.07,0.1,0.01,0.6,0.46,0,0,0,0,0
"CP Rokubacteria",0.35,1.09,0.53,0.38,0.66,0.01,4.03,0.01,0.01,2.1,0.01,1.39,0.01,0.4,0.53,0.46,0.04,2.56,1.91,0.01,0.01,0.01,0.01,0.01
"CP Saccharibacteria",0.05,1.91,0.19,0.3,1.02,0.06,0.06,0.08,0,0,0,0,0,0.02,0.09,0.82,0.01,0.04,0.03,0.11,0.03,0.06,0.04,0.11
"CP Shapirobacteria",0.33,0.99,1.01,1.94,1.49,0,0,0,0,0,0.01,0.01,0,0.11,2.22,1.27,0.01,0,0.04,0,0,0.01,0,0
"CP Staskawiczbacteria",0.08,0.15,0.11,0.09,0.11,0.03,0.49,0.02,0.01,0.66,0.02,0.4,0.02,0.12,0.13,0.12,0.03,0.75,0.35,0.03,0.04,0.03,0.03,0.04
"CP Tanganyikabacteria",0.17,0.23,0.22,0.25,0.18,0.4,0.42,0.27,0.57,0.06,0.54,0.03,0.33,0.2,0.14,0.13,0.21,0.16,0.63,0.12,0.04,0.2,0.15,0.04
"CP Tectomicrobia",0.04,0.3,0.12,0.07,0.24,0,0.76,0,0,0.48,0,0.52,0,0.1,0.15,0.1,0.01,0.68,0.23,0,0,0,0,0
"CP TM6",0.21,0.23,0.19,0.23,0.19,0.45,0.3,0.35,0.17,0.5,0.25,0.21,0.28,0.21,0.19,0.14,0.22,0.22,0.13,0.27,0.74,0.27,0.23,0.29
"CP Urhbacteria",0.09,0.15,0.09,0.07,0.09,0,0.69,0,0,0.18,0,0.04,0,0.08,0.09,0.11,0,0.75,0.5,0,0,0,0,0
"CP WWE1",0.48,0.75,0.68,1.37,1.5,0,0,0,0,0,0,0,0,0.12,1.54,1.25,0,0,0.02,0,0,0,0,0
"CP WWE3",0.02,0.55,0.08,0.46,0.66,0,0,0,0,0,0,0,0,0.01,0.35,0.71,0,0,0,0,0,0,0,0
"CP Ziwabacteria",0.97,0.17,0.44,0.27,0.33,0,0.01,0,0,0.01,0,0.01,0,0.25,0.58,0.25,0,0,0.43,0,0,0.01,0,0
"CP Zixibacteria",0.03,0.09,0.05,0.04,0.07,0,0.33,0,0,0.67,0,0.73,0,0.05,0.09,0.06,0.02,0.23,0.1,0,0,0,0,0
"Cyanobacteria",4.53,12.29,10.18,10.58,8.73,14.19,9,19.67,20.96,0.17,10.31,0.46,15.48,10.78,7.72,6.7,15.98,5.22,5.3,16.08,4.82,10.8,7.7,9.08
"Deltaproteobacteria",0.59,0.96,0.81,1,1.3,0.11,0.35,0.09,0.07,0.48,0.04,0.53,0.05,0.29,1.29,0.98,0.09,0.28,0.4,0.03,0.01,0.03,0.03,0.02
"Diapherotrites",0.04,0.07,0.05,0.03,0.04,0,0.23,0,0,0.38,0,0.13,0,0.09,0.12,0.09,0.01,0.75,0.44,0,0,0,0,0
"Euryarchaeota",0.73,1.82,0.78,1.42,1.92,1.2,0.37,0.81,0.35,0.07,0.49,0.16,0.67,0.9,2.09,2.13,0.88,0.25,0.22,1.59,3.88,1.59,1.24,1.45
"Fibrobacteres acidobacteria",0.15,0.58,0.28,0.54,0.57,0.15,0.38,0.14,0.18,0.53,0.12,0.74,0.17,0.28,0.77,0.78,0.33,0.36,0.3,0.07,0.06,0.06,0.13,0.09
"Firmicutes",1.13,0.71,1.36,0.81,0.93,0.06,0.03,0.05,0.09,0.03,0.09,0.02,0.11,0.48,1.74,0.71,0.05,0.02,0.11,0.05,0.27,0.09,0.05,0.13
"Gammaproteobacteria",0.97,1.28,1.14,1.37,1.04,1.52,2.48,1.55,1.16,1.81,1.01,1.64,1.04,1.26,1.09,1.15,1.5,1.77,2.04,1.62,1.65,1.58,1.73,1.95
"Gemmatimonadetes",0.51,0.55,0.56,0.64,0.49,0.62,0.7,0.63,1.04,0.38,0.8,0.57,0.82,0.52,0.52,0.54,0.7,0.47,0.95,0.73,0.9,0.77,0.94,0.95
"Ignavibacteria",4.45,3.75,4.55,5.35,4.13,7.8,3.19,5.3,3.91,0.45,3.81,0.98,5.95,4.37,6.1,4.09,4.5,1.54,2.76,4.59,6.91,4.91,3.96,5.32
"Kirimatiellacea",0.52,0.1,0.27,0.09,0.14,0,0,0,0,0,0,0,0,0.21,0.25,0.09,0,0,0.01,0,0.01,0,0,0
"Lentisphaerae",0.74,0.8,0.84,2.04,1.53,0.01,0.01,0,0,0.01,0,0.01,0,0.15,2.62,1.52,0,0.01,0.04,0,0,0.01,0,0
"Nitrospirae",0.74,1.85,0.96,1.29,2.12,0.09,3.47,0.06,0.06,5.91,0.06,4.62,0.06,0.9,1.74,1.93,0.37,4.02,4.47,0.06,0.06,0.03,0.11,0.07
"Pacearchaeota",0.29,0.45,0.35,0.45,0.58,0.01,0.54,0,0,1.45,0.01,0.92,0.01,0.18,0.57,0.55,0.02,1.02,0.33,0,0.02,0,0.01,0.01
"Parvarchaeota",0.27,0.06,0.07,0.04,0.1,0,0.01,0,0,0.01,0,0,0,0.13,0.09,0.07,0,0,0.73,0,0,0,0,0
"Planctomycetes",1.02,1.29,1.11,1.3,1.12,1.17,2.17,1.18,1.5,1.63,1.05,1.93,1.17,1.09,1.37,1.13,1.08,1.32,2.04,0.8,0.45,0.74,0.83,0.58
"Poribacteria",0.23,0.34,0.22,0.38,0.5,0.02,0.07,0.02,0.02,0.14,0.02,0.05,0.04,0.11,0.61,0.35,0.01,0.06,0.73,0.02,0.03,0.02,0.02,0.02
"Thaumarchaeota",5.62,7.51,5.2,3.55,6.52,0.73,19.95,0.44,0.33,41.36,0.64,32.97,0.52,7.91,6.45,6.98,2.22,29.09,21.66,0.35,0.55,0.23,0.72,0.85
"Verrucomicrobia",0.83,1.32,1.13,1.38,1.1,1.8,2.06,1.61,2.5,1.59,1.84,1.55,1.75,1.37,1.66,1.46,1.65,1.42,1.21,1.44,0.99,1.42,1.47,1.17
"Verstraetaerchaeota",0.06,1.41,0.19,0.96,1.42,0,0,0,0,0,0,0,0,0.02,0.91,1.98,0,0,0,0,0,0,0,0
"Woesearchaeota",0.04,0.25,0.05,0.25,0.43,0.03,0.04,0.03,0.02,0.03,0.02,0.02,0.02,0.04,0.23,0.42,0.02,0.02,0.42,0.02,0.03,0.02,0.02,0.01
"WOR-2 Omnitrophica",0.24,0.39,0.37,0.69,0.75,0,0,0,0,0,0,0,0,0.1,0.97,0.72,0,0,0.04,0,0,0,0,0
"WOR-3",0.33,0.54,0.58,0.78,0.89,0,0,0,0,0,0,0,0,0.09,1.18,0.89,0,0,0.03,0,0,0,0,0
