SimplifiedTaxonomy	KigC250	KigC300	KigCa35	KigCa65	KigCas0	KigOff0	KigOff120	KigOff40	KigOff80	KigOffSurface	MahC100	MahC200	MahC400	MahCa10	MahCa50	MahCa65	Mahsurface_10	Mahsurface_6	Mahsurface_7	Mahsurface_8	Mahsurface_9
Acidobacteria	0	1	0	2	0	0	3	0	3	0	0	0	1	0	2	2	0	0	0	0	0
Actinobacteria	21	16	25	17	24	26	12	30	17	26	24	14	25	32	18	16	31	39	34	42	36
Aenigmarchaeota	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Alphaproteobacteria (non LD12)	2	3	3	4	3	2	5	3	6	3	3	3	3	3	4	5	3	3	3	3	3
Alphaproteobacteria LD12	3	3	8	2	7	7	1	13	2	9	6	3	3	6	2	1	7	9	9	8	7
Altiarchaeota	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Armatimonadetes	1	1	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0
Bacteroidetes	7	5	10	10	8	5	5	6	3	7	7	5	4	7	8	8	9	14	10	9	15
Bathyarchaeota	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Betaproteobacteria	4	5	4	6	4	4	6	4	7	4	6	5	4	4	6	16	4	3	4	4	4
Calditrichaeota	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Chlamydiae	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Chlorobi	1	2	0	0	0	0	0	0	0	0	3	1	0	0	0	0	0	0	0	0	0
Chloroflexi	9	11	0	2	0	0	4	0	6	0	2	12	9	0	2	2	0	0	0	0	0
CP Aminicemantes (OP8)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CP BRC1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CP Eisenbacteria	1	1	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0
CP Gottesmanbacteria	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CP Gribaldobacteria	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CP Handelsmanbacteria	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CP Harrisonbacteria	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CP Hydrogenedentes	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CP Kaiserbacteria	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
CP Liptonbacteria	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CP Moranbacteria	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CP Nealsonbacteria	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CP Peribacteria	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CP Perigrinibacteria	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CP Rokubacteria	0	0	0	1	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0
CP Saccharibacteria	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CP Shapirobacteria	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CP Staskawiczbacteria	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CP Tanganyikabacteria	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CP Tectomicrobia	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CP TM6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CP Urhbacteria	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CP WWE1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CP WWE3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CP Ziwabacteria	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CP Zixibacteria	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Cyanobacteria	18	16	26	15	34	36	0	22	1	29	21	14	12	27	10	9	28	10	20	15	16
Deltaproteobacteria	4	6	1	1	0	0	2	0	3	0	1	6	5	0	1	2	0	0	0	0	0
Diapherotrites	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Euryarchaeota	0	1	0	0	0	0	0	0	0	0	0	1	1	0	0	0	1	1	1	0	0
Fibrobacteres acidobacteria	1	1	0	0	0	0	1	0	1	0	0	1	1	0	0	0	0	0	0	0	0
Firmicutes	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gammaproteobacteria	3	3	4	5	3	3	5	3	4	3	3	3	3	3	4	4	4	4	4	4	5
Gemmatimonadetes	1	0	1	1	1	1	0	1	1	1	1	0	1	1	0	1	1	1	1	1	1
Ignavibacteria	5	4	8	3	5	4	1	5	1	6	5	6	4	4	2	3	5	8	5	4	5
Kirimatiellacea	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Lentisphaerae	1	1	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0
Nitrospirae	1	2	0	4	0	0	7	0	6	0	1	2	2	0	5	5	0	0	0	0	0
Pacearchaeota	0	0	0	0	0	0	1	0	1	0	0	0	0	0	1	0	0	0	0	0	0
Parvarchaeota	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Planctomycetes	6	6	6	9	5	7	8	6	10	6	6	6	5	5	7	9	4	2	4	4	3
Poribacteria	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Thaumarchaeota	2	5	0	12	0	0	31	1	24	0	6	4	5	1	21	13	0	0	0	1	1
Verrucomicrobia	3	3	4	4	4	6	4	5	4	4	4	4	4	4	4	3	3	3	4	4	3
Verstraetaerchaeota	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Woesearchaeota	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
WOR-2 Omnitrophica	1	1	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0
WOR-3	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0