Taxonomy	Simplified Taxonomy
Acidobacteria	Acidobacteria
Actinobacteria	Actinobacteria
Actinobacteria acSTL	Actinobacteria
Actinobacteria acTH1	Actinobacteria
Actinobacteria acIV	Actinobacteria
Actinobacteria acI-B1	Actinobacteria
Actinobacteria acIV-C	Actinobacteria
Actinobacteria acI-C2	Actinobacteria
Actinobacteria acI-C	Actinobacteria
Actinobacteria acIII	Actinobacteria
Actinobacteria Iluma-A1	Actinobacteria
Aenigmarchaeota	Aenigmarchaeota
Alphaproteobacteria non LD12	Alphaproteobacteria (non LD12)
Alphaproteobacteria LD12	Alphaproteobacteria LD12
Altiarchaeota	Altiarchaeota
Armatimonadetes	Armatimonadetes
Bacteroidetes	Bacteroidetes
Bathyarchaeota	Bathyarchaeota
Betaproteobacteria	Betaproteobacteria
Calditrichaeota	Calditrichaeota
Chlamydiae	Chlamydiae
Chlorobi	Chlorobi
Chloroflexi	Chloroflexi
CP Aminicemantes (OP8)	CP Aminicemantes (OP8)
CP BRC1	CP BRC1
CP Eisenbacteria	CP Eisenbacteria
CP Fraserbacteria	CP Fraserbacteria
CP Gottesmanbacteria	CP Gottesmanbacteria
CP Gribaldobacteria	CP Gribaldobacteria
CP Handelsmanbacteria	CP Handelsmanbacteria
CP Harrisonbacteria	CP Harrisonbacteria
CP Hydrogenedentes	CP Hydrogenedentes
CP Kaiserbacteria	CP Kaiserbacteria
CP Liptonbacteria	CP Liptonbacteria
CP Moranbacteria	CP Moranbacteria
CP Nealsonbacteria	CP Nealsonbacteria
CP Parcubacteria	CP Parcubacteria
CP Peribacteria	CP Peribacteria
CP Perigrinibacteria	CP Perigrinibacteria
CP Roizmanbacteria	CP Roizmanbacteria
CP Rokubacteria	CP Rokubacteria
CP Saccharibacteria	CP Saccharibacteria
CP Shapirobacteria	CP Shapirobacteria
CP Staskawiczbacteria	CP Staskawiczbacteria
CP Tanganyikabacteria	CP Tanganyikabacteria
CP Tectomicrobia	CP Tectomicrobia
CP TM6	CP TM6
CP Urhbacteria	CP Urhbacteria
CP WWE1	CP WWE1
CP WWE3	CP WWE3
CP Ziwabacteria	CP Ziwabacteria
CP Zixibacteria	CP Zixibacteria
Cyanobacteria	Cyanobacteria
Deinococcus thermus	Deinococcus thermus
Deltaproteobacteria	Deltaproteobacteria
Diapherotrites	Diapherotrites
Euryarchaeota	Euryarchaeota
Fibrobacteres acidobacteria	Fibrobacteres acidobacteria
Firmicutes	Firmicutes
Gammaproteobacteria	Gammaproteobacteria
Gemmatimonadetes	Gemmatimonadetes
Ignavibacteria	Ignavibacteria
Kirimatiellacea	Kirimatiellacea
Lentisphaerae	Lentisphaerae
Micrarchaeota	Micrarchaeota
Nitrospirae	Nitrospirae
Pacearchaeota	Pacearchaeota
Parvarchaeota	Parvarchaeota
Phycisphaerae	Planctomycetes
Planctomycetes	Planctomycetes
Poribacteria	Poribacteria
Thaumarchaeota	Thaumarchaeota
Unclassified	Unclassified
Verrucomicrobia V3	Verrucomicrobia
Verrucomicrobia V6	Verrucomicrobia
Verrucomicrobia V4	Verrucomicrobia
Verrucomicrobia V2	Verrucomicrobia
Verrucomicrobia V1	Verrucomicrobia
Verstraetaerchaeota	Verstraetaerchaeota
Woesearchaeota	Woesearchaeota
WOR-2 Omnitrophica	WOR-2 Omnitrophica
WOR-3	WOR-3