MAG	KigC100	KigC1200	KigC150	KigC250	KigC300	KigCa35	KigCa65	KigCas0	KigOff0	KigOff120	KigOff40	KigOff80	KigOffSurface	MahC100	MahC200	MahC400	MahCa10	MahCa50	MahCa65	Mahsurface_10	Mahsurface_6	Mahsurface_7	Mahsurface_8	Mahsurface_9
M_DeepCast_50m_m2_054	3.28	4.75	2.63	1.82	2.86	0.08	15.28	0.06	0.03	14.27	0.08	6.70	0.06	2.75	1.92	3.46	0.17	17.41	12.36	0.06	0.06	0.07	0.07	0.06
K_DeepCast_65m_m2_251	2.39	4.75	3.06	2.26	2.71	1.32	17.55	1.14	0.50	25.60	0.61	20.41	0.54	5.48	5.22	5.57	3.25	16.00	6.18	0.59	0.46	0.33	1.15	0.98
M_DeepCast_400m_m2_252	3.49	4.72	3.92	4.75	4.76	0.00	0.01	0.00	0.00	0.00	0.00	0.00	0.00	0.81	5.33	5.81	0.00	0.00	0.11	0.00	0.00	0.00	0.00	0.00
K_Offshore_40m_m2_176	5.09	4.67	3.30	3.93	2.99	10.27	3.72	10.88	21.36	0.39	24.28	0.59	31.34	6.28	4.03	3.94	5.70	2.34	2.02	4.87	3.22	5.09	7.11	5.93
M_DeepCast_65m_m2_016	7.52	4.66	5.58	2.94	5.44	0.51	7.95	0.31	0.09	10.76	0.25	11.43	0.40	4.09	5.67	4.73	0.49	11.85	13.24	0.15	0.14	0.09	0.22	0.24
K_DeepCast_150m_m1_356	34.99	4.64	21.20	4.68	6.40	0.03	0.06	0.03	0.02	0.02	0.02	0.01	0.03	5.60	3.75	1.89	0.02	0.02	0.20	0.05	0.04	0.11	0.04	0.03
M_DeepCast_100m_m2_149	3.68	4.64	3.70	4.24	2.95	7.01	3.45	9.78	1.19	3.47	1.59	6.87	1.13	13.22	8.82	11.19	13.20	6.64	6.50	3.60	1.30	2.17	6.55	3.25
K_Offshore_surface_m2_092	5.05	4.62	3.70	4.08	3.11	11.85	2.82	16.56	15.09	0.14	17.19	0.19	17.54	7.24	3.78	3.62	6.75	2.23	1.71	8.14	4.02	8.41	7.18	7.38
K_DeepCast_65m_m2_213	6.10	4.60	4.74	2.35	3.55	0.16	19.40	0.05	0.06	15.86	0.11	11.39	0.15	2.39	4.73	2.37	0.14	12.52	9.41	0.06	0.05	0.07	0.05	0.04
K_Offshore_40m_m2_239	6.15	4.60	4.54	4.88	3.15	11.44	4.59	11.31	19.46	0.99	19.44	0.95	16.85	7.60	5.77	6.16	6.30	3.01	2.67	6.96	4.24	6.12	8.32	7.98
K_DeepCast_35m_m1_037	5.87	4.59	3.76	4.69	3.07	12.03	3.83	12.94	1.29	1.67	2.09	1.25	2.25	1.27	1.06	0.70	1.00	1.14	0.49	1.60	2.76	1.56	1.94	2.74
K_DeepCast_250m_m2_119	1.83	4.55	4.48	8.85	6.89	0.00	0.06	0.00	0.00	0.07	0.00	0.15	0.00	0.57	9.56	7.19	0.01	0.05	0.22	0.01	0.01	0.02	0.01	0.00
M_DeepCast_400m_m1_102	0.49	4.55	1.19	8.82	9.17	0.00	0.01	0.00	0.00	0.00	0.00	0.00	0.00	0.14	7.55	12.16	0.00	0.00	0.03	0.00	0.00	0.00	0.00	0.00
K_DeepCast_65m_m2_066	0.99	4.54	1.95	1.03	3.15	0.05	9.71	0.00	0.00	7.52	0.02	8.31	0.00	2.10	1.96	1.62	0.19	11.71	2.84	0.00	0.01	0.00	0.01	0.00
M_DeepCast_400m_m1_356	0.37	4.53	0.74	3.95	6.16	0.00	0.01	0.01	0.00	0.00	0.00	0.01	0.00	0.09	2.67	9.93	0.00	0.01	0.02	0.00	0.00	0.01	0.00	0.00
K_DeepCast_100m_m1_307	58.29	4.49	12.84	8.17	8.76	0.00	0.06	0.00	0.00	0.02	0.00	0.01	0.00	17.89	14.05	7.70	0.00	0.01	0.47	0.00	0.01	0.02	0.00	0.00
M_DeepCast_50m_m2_187	2.28	4.46	3.19	2.55	2.58	0.03	17.02	0.01	0.00	35.17	0.02	10.23	0.01	4.65	3.79	5.40	0.22	32.95	8.85	0.02	0.03	0.02	0.01	0.02
M_DeepCast_50m_m2_137	3.70	4.44	4.12	2.75	2.76	0.17	16.13	0.15	0.12	15.89	0.17	11.96	0.12	4.81	5.84	4.68	0.35	22.36	11.86	0.11	0.06	0.16	0.14	0.08
K_Offshore_40m_m1_259	4.00	4.43	3.53	4.14	3.15	6.45	4.52	9.41	7.03	4.17	9.77	7.46	7.66	7.53	3.90	6.35	7.19	5.88	4.69	6.51	3.57	4.69	6.78	6.16
M_surface_7_m1_048	7.24	4.43	5.24	5.48	3.16	9.23	4.57	13.74	11.91	0.46	16.34	1.24	13.50	6.16	2.98	4.26	7.39	3.38	2.71	11.67	10.47	11.01	17.78	14.35
M_DeepCast_400m_m2_340	0.14	4.36	0.33	3.61	5.96	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.03	2.42	8.90	0.00	0.00	0.01	0.00	0.00	0.00	0.00	0.00
K_DeepCast_250m_mx_298	1.46	4.36	2.87	8.21	7.21	0.01	0.00	0.00	0.00	0.00	0.24	0.11	0.05	0.39	6.99	9.61	0.13	0.04	0.14	0.03	0.02	0.10	0.09	0.06
K_Offshore_80m_m2_162	2.94	4.34	3.20	2.26	3.37	0.60	10.98	0.67	0.26	15.76	0.45	23.46	0.29	3.07	2.75	3.25	0.80	12.40	8.40	0.33	0.25	0.28	0.44	0.41
M_surface_10_m2_213	5.06	4.32	3.99	4.57	3.38	6.93	6.42	7.80	8.07	6.70	8.51	8.12	7.42	14.92	10.83	13.19	13.16	8.94	6.41	23.51	5.23	21.04	29.88	11.02
K_DeepCast_65m_m1_262	14.49	4.31	4.48	2.10	4.06	0.24	8.15	0.19	0.07	13.07	0.17	9.06	0.11	5.64	3.58	3.43	0.25	6.13	22.36	0.07	0.09	0.08	0.11	0.12
M_DeepCast_200m_mx_060	15.49	4.28	9.27	2.01	4.94	0.03	2.28	0.02	0.01	2.36	0.01	0.44	0.02	5.76	6.03	2.01	0.02	0.49	22.63	0.01	0.01	0.02	0.01	0.01
K_DeepCast_65m_m2_097	7.48	4.24	5.49	2.28	3.44	0.16	17.82	0.08	0.06	13.30	0.12	9.24	0.08	2.56	4.55	2.55	0.19	9.23	12.45	0.08	0.09	0.14	0.12	0.09
K_Offshore_80m_m2_051	2.81	4.24	3.17	2.24	2.98	1.52	7.08	1.78	0.38	13.32	0.55	18.57	0.43	4.27	3.67	4.03	1.75	12.04	8.19	0.62	0.37	0.48	0.87	0.75
K_DeepCast_35m_m1_264	6.07	4.21	5.99	5.25	4.08	14.67	7.01	9.60	3.84	3.41	7.47	6.10	9.14	8.00	7.56	7.24	6.76	4.56	4.01	5.53	3.21	8.74	8.03	6.28
K_Offshore_surface_m1_273	4.02	4.20	3.99	4.43	2.89	8.41	2.85	10.87	9.30	0.25	16.73	0.31	13.61	6.24	2.80	4.04	7.16	2.91	2.38	9.93	4.92	8.38	10.19	7.36
M_DeepCast_50m_m1_274	5.29	4.16	4.04	4.13	3.08	7.14	9.55	7.87	2.99	6.50	6.19	5.49	5.15	5.94	2.84	3.99	3.82	13.69	5.24	6.58	7.44	6.66	7.01	9.81
M_DeepCast_50m_m2_086	1.06	4.12	2.51	1.24	2.72	0.06	9.22	0.04	0.05	10.77	0.07	7.45	0.06	1.72	1.37	1.40	0.13	10.54	3.00	0.02	0.01	0.03	0.04	0.02
M_DeepCast_65m_mx_077	31.89	4.12	8.09	4.30	6.41	0.04	0.68	0.05	0.02	1.27	0.02	0.39	0.02	7.81	6.56	4.59	0.21	0.30	46.00	0.05	0.04	0.07	0.10	0.05
M_DeepCast_400m_m2_225	0.56	4.10	1.23	4.39	5.47	0.00	0.04	0.01	0.00	0.03	0.00	0.03	0.00	0.13	4.31	9.13	0.00	0.02	0.07	0.00	0.00	0.01	0.00	0.00
K_DeepCast_150m_m2_113	18.70	4.07	11.77	3.25	4.88	0.01	0.11	0.01	0.01	0.07	0.01	0.02	0.01	6.65	4.58	3.06	0.01	0.01	3.35	0.01	0.02	0.05	0.01	0.01
M_DeepCast_400m_m2_341	0.31	4.04	0.86	3.08	3.28	0.01	0.07	0.01	0.00	0.12	0.00	0.13	0.00	0.06	3.00	7.03	0.01	0.10	0.05	0.00	0.00	0.01	0.00	0.00
K_Offshore_120m_m2_006	3.28	4.03	2.65	1.55	2.48	0.12	13.58	0.08	0.04	15.49	0.08	11.83	0.05	2.25	2.03	2.30	0.18	11.96	10.90	0.05	0.05	0.12	0.05	0.03
K_Offshore_40m_mx_046	4.89	3.97	4.37	4.96	3.04	8.22	3.79	10.32	12.46	0.65	14.91	0.99	12.91	5.02	2.69	4.27	5.57	2.61	2.05	8.28	5.13	6.79	8.97	7.46
M_DeepCast_400m_m2_325	3.60	3.91	3.01	4.06	5.45	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.53	5.09	8.27	0.00	0.00	0.05	0.00	0.00	0.00	0.00	0.00
M_DeepCast_200m_m2_220	0.84	3.90	3.46	7.87	6.55	0.00	0.01	0.00	0.00	0.00	0.00	0.00	0.00	0.16	10.98	7.81	0.00	0.00	0.10	0.00	0.00	0.00	0.00	0.00
K_Offshore_120m_m2_035	8.17	3.89	4.01	3.60	2.96	10.73	6.21	8.05	2.49	21.28	5.65	8.12	5.92	11.18	5.89	5.82	8.14	9.96	4.19	15.36	30.02	13.05	11.91	13.72
K_Offshore_120m_m2_146	3.29	3.88	2.97	2.10	2.54	0.21	14.09	0.25	0.09	19.40	0.18	20.54	0.11	2.55	2.66	2.67	0.41	12.37	6.95	0.11	0.08	0.06	0.22	0.16
M_surface_7_m2_032	5.30	3.86	4.06	4.78	2.49	10.40	2.30	13.93	7.48	1.11	17.85	2.59	12.86	8.14	2.17	5.00	7.66	3.12	1.75	12.11	12.05	12.42	15.29	13.22
M_DeepCast_65m_m1_262	30.79	3.84	7.81	2.77	5.43	0.04	1.18	0.04	0.03	2.21	0.04	0.39	0.04	12.50	5.78	5.99	0.03	0.55	51.98	0.09	0.16	0.44	0.10	0.06
M_DeepCast_65m_m2_155	6.24	3.84	2.95	1.60	2.78	0.09	10.34	0.07	0.03	14.23	0.08	6.96	0.07	3.89	2.50	2.94	0.22	10.55	24.54	0.05	0.05	0.04	0.06	0.06
K_DeepCast_150m_m2_200	13.17	3.82	14.29	3.99	5.91	0.01	0.03	0.00	0.00	0.01	0.00	0.00	0.00	3.00	9.22	3.22	0.00	0.00	0.29	0.01	0.01	0.02	0.01	0.01
K_DeepCast_100m_m2_305	22.59	3.81	9.93	3.09	4.12	0.01	0.07	0.00	0.00	0.08	0.00	0.01	0.00	7.61	7.30	2.94	0.00	0.01	6.80	0.01	0.01	0.03	0.01	0.00
M_DeepCast_200m_mx_231	1.68	3.78	3.40	5.16	4.24	0.00	0.02	0.00	0.00	0.02	0.00	0.02	0.00	0.35	10.28	6.22	0.00	0.01	0.08	0.00	0.00	0.00	0.00	0.00
K_Offshore_80m_m2_191	2.01	3.77	2.42	2.12	2.86	1.38	5.22	1.90	0.36	11.18	0.63	21.54	0.48	2.90	2.57	3.47	1.66	7.90	3.29	0.28	0.23	0.21	0.70	0.40
M_DeepCast_100m_m2_010	4.60	3.73	3.06	3.27	2.53	7.35	4.69	8.48	3.69	10.75	2.94	10.97	3.54	16.62	10.02	11.05	12.16	10.96	8.08	3.96	0.81	1.70	7.55	2.59
K_Offshore_120m_m2_043	1.52	3.72	2.10	1.44	2.51	0.57	7.69	0.67	0.17	14.26	0.29	11.22	0.22	2.84	2.16	2.51	0.82	11.43	6.38	0.33	0.25	0.30	0.40	0.38
M_DeepCast_65m_m2_266	18.10	3.72	4.61	1.99	3.61	0.12	4.60	0.13	0.07	8.24	0.12	3.17	0.09	6.19	3.22	2.85	0.14	2.74	24.42	0.07	0.07	0.08	0.09	0.09
K_DeepCast_150m_m2_049	36.31	3.71	17.81	10.14	7.11	0.02	0.02	0.03	0.01	0.00	0.02	0.00	0.02	7.45	21.17	6.28	0.01	0.01	0.67	0.02	0.04	0.03	0.02	0.05
M_surface_9_m2_137	5.37	3.68	3.26	3.75	2.84	13.50	2.85	10.99	3.00	0.82	4.33	0.88	5.28	7.11	3.46	4.11	5.50	2.21	1.46	9.19	13.50	6.60	6.19	14.65
K_DeepCast_0m_m2_115	5.73	3.67	3.60	4.84	2.44	5.48	3.48	14.42	1.61	0.08	2.48	0.12	2.58	5.24	1.49	1.81	3.55	1.53	0.78	4.60	3.41	5.53	5.48	6.49
K_Offshore_surface_mx_261	5.07	3.65	4.34	4.90	2.72	11.17	5.13	9.63	1.99	0.99	4.71	0.78	4.33	8.43	3.65	5.30	7.89	5.55	3.17	11.44	10.01	14.47	11.71	17.22
K_Offshore_80m_m2_056	2.66	3.64	3.26	1.92	2.78	0.85	6.60	0.53	0.19	11.81	0.45	14.74	0.35	2.46	2.22	3.36	0.88	11.86	9.38	0.24	0.21	0.49	0.46	0.29
K_Offshore_80m_m2_218	2.74	3.63	2.70	1.83	2.57	0.08	11.38	0.01	0.00	14.33	0.07	19.36	0.01	1.73	2.05	2.06	0.15	8.68	5.45	0.01	0.03	0.01	0.01	0.01
K_DeepCast_150m_m2_071	19.23	3.62	11.54	2.74	3.63	0.01	0.12	0.01	0.01	0.16	0.01	0.02	0.01	6.54	6.74	2.92	0.01	0.03	3.40	0.01	0.01	0.04	0.02	0.01
K_Offshore_80m_m2_102	3.29	3.61	3.00	2.54	2.93	1.90	5.32	1.06	0.32	21.28	0.55	40.40	0.34	3.71	4.17	4.23	1.88	7.68	3.48	0.38	0.24	0.29	0.70	0.36
K_DeepCast_100m_m1_149	33.14	3.53	12.80	3.53	4.42	0.01	0.23	0.00	0.00	0.34	0.00	0.18	0.00	6.03	5.01	2.48	0.00	0.30	1.22	0.00	0.02	0.02	0.00	0.01
K_Offshore_120m_m2_141	2.53	3.42	2.71	1.76	2.49	0.69	9.15	0.68	0.33	18.20	0.52	21.96	0.41	2.97	2.36	2.54	0.84	12.05	6.51	0.33	0.25	0.29	0.42	0.35
K_Offshore_40m_m2_104	3.77	3.40	3.10	3.42	2.23	6.35	3.39	7.80	41.18	2.06	44.62	3.12	44.05	4.48	3.61	3.22	4.28	2.49	2.36	3.45	3.40	4.22	5.94	3.57
K_DeepCast_100m_m2_268	30.85	3.37	7.25	3.61	5.67	0.03	0.31	0.03	0.02	0.40	0.03	0.24	0.03	5.79	4.15	3.32	0.03	0.20	25.40	0.05	0.06	0.11	0.05	0.03
M_DeepCast_50m_m2_233	3.09	3.36	1.97	1.26	1.70	0.01	11.11	0.00	0.00	2.53	0.00	0.66	0.00	1.96	1.18	2.18	0.07	15.63	9.05	0.01	0.01	0.01	0.01	0.01
K_Offshore_80m_m2_041	3.90	3.36	3.15	2.97	3.12	1.98	6.85	2.24	2.94	13.87	3.77	23.88	3.01	2.95	3.46	3.32	1.47	6.49	5.14	1.28	0.63	1.15	1.58	0.93
K_Offshore_80m_m2_194	1.46	3.32	1.95	1.30	2.21	0.29	7.38	0.23	0.12	15.59	0.28	24.56	0.15	2.11	1.86	1.91	0.46	8.90	2.85	0.15	0.13	0.12	0.21	0.15
K_Offshore_80m_m2_113	2.75	3.32	2.69	2.36	2.55	4.87	2.14	8.10	1.80	6.10	2.32	13.40	1.72	7.05	3.80	4.42	6.19	3.38	3.16	2.75	1.31	1.57	3.83	2.90
K_Offshore_40m_m2_105	4.12	3.31	3.84	4.90	2.66	6.96	2.87	9.45	12.32	0.36	14.02	0.76	12.19	5.26	2.75	6.22	7.19	3.02	2.37	9.35	5.44	7.43	13.26	8.46
K_Offshore_120m_m2_023	1.35	3.27	1.97	1.43	1.46	0.04	15.94	0.00	0.00	20.42	0.01	2.82	0.00	4.68	3.34	4.01	0.13	26.88	6.84	0.00	0.01	0.01	0.00	0.00
K_DeepCast_150m_m1_084	16.11	3.26	10.79	3.38	4.74	0.00	0.06	0.00	0.00	0.04	0.00	0.00	0.00	6.06	7.08	3.48	0.00	0.01	1.51	0.00	0.00	0.00	0.00	0.00
M_DeepCast_400m_m2_195	0.36	3.21	1.03	3.92	3.21	0.01	0.04	0.01	0.01	0.04	0.01	0.04	0.01	0.06	3.91	6.23	0.00	0.03	0.03	0.01	0.00	0.01	0.01	0.00
M_DeepCast_200m_mx_295	0.81	3.19	1.68	4.26	4.06	0.01	0.05	0.02	0.02	0.08	0.02	0.07	0.02	0.17	6.97	7.36	0.01	0.05	0.07	0.02	0.02	0.03	0.02	0.01
K_Offshore_40m_m2_150	1.80	3.17	2.70	3.11	2.34	5.32	2.19	6.87	8.58	0.53	11.10	1.08	7.81	3.88	1.80	3.50	4.40	1.84	1.47	4.11	1.07	3.40	4.01	3.07
K_Offshore_80m_m1_177	2.79	3.13	2.48	2.76	2.40	4.30	3.36	6.21	1.63	7.85	2.63	17.40	1.98	9.98	6.53	8.45	9.88	5.69	5.92	3.98	2.58	2.27	6.11	5.36
M_surface_9_m1_291	1.97	3.10	2.85	2.55	1.93	5.10	1.99	8.30	5.79	0.05	4.95	0.14	6.04	3.89	1.65	1.91	4.22	1.58	1.20	6.43	1.33	3.91	3.20	3.40
M_DeepCast_50m_m2_133	2.93	3.05	2.39	2.24	1.81	0.04	20.70	0.02	0.02	26.80	0.03	4.89	0.02	5.93	6.65	5.67	0.07	25.83	13.41	0.02	0.02	0.04	0.02	0.01
K_Offshore_80m_m2_003	1.50	3.05	1.89	1.39	1.85	0.46	6.94	0.30	0.09	14.73	0.15	18.85	0.09	2.67	2.64	3.21	1.18	8.37	3.93	0.11	0.13	0.09	0.26	0.12
K_DeepCast_100m_m2_321	31.10	3.03	8.61	4.64	5.35	0.04	0.19	0.03	0.03	0.21	0.03	0.14	0.03	6.14	7.87	4.49	0.03	0.12	6.52	0.04	0.04	0.09	0.03	0.02
M_DeepCast_65m_m2_014	13.58	3.01	4.73	1.79	3.88	0.02	0.93	0.02	0.01	0.95	0.02	0.08	0.01	4.67	2.52	1.76	0.01	0.16	26.26	0.01	0.00	0.01	0.01	0.00
M_DeepCast_50m_m1_285	1.43	2.99	2.15	1.89	1.53	0.89	9.70	0.68	0.07	12.00	0.11	1.38	0.10	7.85	4.52	6.43	5.19	26.38	6.30	7.05	0.50	6.29	6.30	4.69
K_Offshore_surface_m2_247	4.30	2.95	3.39	3.11	2.21	7.73	2.95	11.69	7.58	0.15	9.56	0.17	9.82	5.74	2.00	2.31	4.85	2.23	1.70	6.79	5.77	6.58	8.58	8.51
K_DeepCast_65m_m2_193	1.28	2.94	1.59	1.10	1.54	0.08	10.57	0.07	0.05	5.50	0.06	3.04	0.05	1.33	1.18	1.46	0.09	9.80	4.54	0.05	0.03	0.05	0.06	0.04
M_DeepCast_65m_m1_270	9.09	2.91	8.38	1.78	3.81	0.14	0.59	0.15	0.14	0.77	0.18	0.50	0.15	7.57	7.84	2.83	0.12	0.40	11.67	0.11	0.22	0.16	0.12	0.12
K_Offshore_80m_m2_035	2.94	2.90	1.96	1.45	2.16	0.62	6.09	0.47	0.21	14.75	0.39	15.27	0.26	2.95	2.20	2.80	0.81	9.42	7.80	0.17	0.18	0.13	0.34	0.33
M_DeepCast_100m_m2_066	2.75	2.89	2.36	2.59	1.86	5.71	2.57	6.12	1.82	3.65	2.35	7.31	1.91	12.03	8.76	10.50	12.47	5.65	5.67	3.38	1.94	2.06	6.25	4.10
K_Offshore_80m_m1_159	1.51	2.88	1.65	1.34	2.16	0.37	4.91	0.14	0.02	13.28	0.13	20.96	0.06	1.83	1.30	2.00	0.44	7.32	4.16	0.02	0.04	0.02	0.06	0.03
K_DeepCast_150m_m2_167	16.96	2.84	9.36	1.80	3.32	0.00	0.05	0.00	0.00	0.06	0.00	0.00	0.00	4.92	3.98	1.84	0.00	0.00	2.16	0.01	0.01	0.02	0.01	0.00
M_DeepCast_65m_m1_019	12.36	2.81	8.00	1.95	4.00	0.03	1.13	0.02	0.01	1.23	0.02	0.31	0.02	5.59	7.32	2.13	0.02	0.29	19.62	0.02	0.01	0.02	0.02	0.01
M_DeepCast_50m_m2_162	1.05	2.81	1.74	1.12	1.79	0.04	6.30	0.02	0.01	5.60	0.04	7.25	0.02	1.08	1.03	1.24	0.13	8.55	1.70	0.02	0.02	0.02	0.03	0.02
K_Offshore_120m_m2_038	1.48	2.80	1.72	1.12	1.61	0.08	9.84	0.08	0.04	17.89	0.07	11.57	0.05	1.73	1.45	1.76	0.16	11.83	5.48	0.05	0.07	0.10	0.07	0.05
K_DeepCast_35m_m1_073	3.31	2.78	2.25	2.57	2.01	8.29	1.77	8.30	2.05	0.66	3.93	1.00	2.94	4.67	2.03	2.90	4.00	1.77	1.11	5.62	4.11	4.66	6.86	4.63
K_DeepCast_35m_m2_046	3.04	2.77	2.60	3.14	2.24	11.18	2.72	5.96	4.18	0.39	4.78	0.57	3.16	1.32	0.85	1.03	1.30	0.60	0.87	0.72	0.20	0.45	0.63	0.29
K_Offshore_80m_m2_146	2.57	2.77	2.12	1.71	2.28	1.75	2.46	2.36	0.88	7.14	1.34	9.39	1.00	2.17	1.29	1.73	0.96	4.04	4.28	0.64	0.53	0.55	0.95	0.83
K_Offshore_40m_m2_283	2.15	2.76	2.07	2.39	1.73	3.44	1.75	5.32	6.50	0.24	8.40	0.43	6.93	3.57	1.91	3.28	3.72	1.74	1.39	3.30	2.23	2.63	4.02	3.82
K_Offshore_80m_m2_061	1.42	2.73	1.72	1.24	2.00	0.85	4.85	0.78	0.25	7.70	0.54	13.22	0.41	1.83	1.31	1.78	0.69	6.56	3.45	0.83	1.21	0.79	0.76	0.79
M_surface_7_m1_001	3.85	2.71	2.18	2.86	2.03	9.29	2.31	7.34	2.58	0.37	2.92	0.42	3.63	4.96	2.80	3.37	3.99	1.70	1.29	10.14	5.60	10.26	11.04	5.02
K_Offshore_120m_m2_034	2.15	2.69	2.30	1.91	1.77	1.69	8.42	1.75	0.72	26.01	1.21	18.88	0.88	2.80	2.13	2.51	1.38	13.20	3.40	1.30	0.90	1.06	1.55	1.73
K_Offshore_40m_m1_243	1.72	2.64	2.07	2.00	1.94	4.64	1.45	5.63	6.08	0.21	7.70	0.23	6.59	2.96	1.52	1.99	2.73	1.10	1.10	2.62	0.93	2.06	2.87	2.05
K_Offshore_40m_m2_139	2.85	2.64	2.35	2.82	1.85	6.18	1.70	7.09	4.13	1.33	9.27	1.50	6.97	4.17	1.38	2.74	4.30	2.00	1.10	6.49	6.31	6.06	8.36	6.44
K_Offshore_80m_m2_094	1.18	2.61	1.65	1.04	1.76	0.22	5.24	0.20	0.13	7.99	0.20	10.98	0.14	1.23	0.89	1.58	0.26	7.32	3.60	0.11	0.08	0.16	0.14	0.09
M_DeepCast_100m_mx_118	2.52	2.59	2.12	2.28	1.71	4.74	2.79	4.81	2.72	7.94	3.19	14.71	2.83	10.23	8.06	9.39	10.48	5.59	5.08	3.17	2.91	2.08	5.70	4.45
K_Offshore_surface_m2_088	3.82	2.57	3.09	3.52	1.88	7.75	3.11	8.12	0.60	0.15	1.76	0.08	1.65	5.12	1.76	2.83	4.78	2.63	1.73	7.02	4.79	7.74	7.71	11.57
K_Offshore_80m_m2_170	1.33	2.57	1.52	1.13	1.81	0.30	4.69	0.22	0.03	15.90	0.20	34.21	0.04	1.09	1.08	1.45	0.34	5.02	3.03	0.06	0.03	0.05	0.08	0.05
M_surface_9_m1_296	5.24	2.57	3.72	3.78	2.19	9.41	3.91	10.22	8.52	0.14	14.13	0.18	12.56	4.51	2.20	2.69	4.81	1.98	1.64	10.05	14.69	10.83	10.81	19.77
M_DeepCast_400m_m2_244	0.84	2.56	1.81	3.49	3.42	0.00	0.01	0.00	0.00	0.00	0.00	0.00	0.00	0.21	3.44	5.34	0.00	0.00	0.08	0.00	0.00	0.01	0.00	0.00
K_Offshore_80m_m1_220	1.60	2.56	1.66	1.60	1.88	1.37	3.74	2.18	0.52	7.09	0.79	11.48	0.48	2.20	1.20	2.14	1.47	5.15	3.92	0.73	0.45	0.54	1.13	0.89
M_surface_9_mx_130	3.40	2.56	2.79	3.08	1.86	6.07	3.04	7.58	3.29	2.09	4.52	2.01	4.27	3.66	1.65	2.10	3.17	2.39	1.43	5.93	6.08	5.54	5.93	8.35
K_Offshore_surface_m1_010	3.21	2.55	2.22	2.69	1.81	6.63	1.69	7.96	8.20	0.19	10.71	0.34	12.74	5.28	2.20	2.93	4.72	1.80	1.33	9.90	5.11	9.25	8.70	7.78
