Category	Reaction	Genes
SULFUR	sulfide oxidation	fccB
SULFUR	sulfide oxidation	sulfide_quinone_oxidoreductase_sqr
SULFUR	sulfur oxidation	sulfur_dioxygenase_sdo
SULFUR	sulfate reduction	aprA
SULFUR	sulfate reduction	sat
SULFUR	sulfate reduction	cysC
SULFUR	sulfate reduction	cysN
SULFUR	sulfate reduction	thiosulfate_reductase_phsA
DSR	sulfur oxidation	dsrA
DSR	sulfur oxidation	dsrB
DSR	sulfite reduction	dsrC
DSR	sulfite reduction	dsrD
DSR	strongly associated with sulfur oxidation	dsrE
DSR	strongly associated with sulfur oxidation	dsrF
DSR	strongly associated with sulfur oxidation	dsrH
DSR	associated with the electron transport chain	dsrJ
DSR	associated with the electron transport chain	dsrK
DSR	associated with the electron transport chain	dsrM
DSR	associated with the electron transport chain	dsrO
DSR	associated with the electron transport chain	dsrP
DSR	ancillary genes	dsrR
DSR	ancillary genes	dsrS
DSR	ancillary genes	dsrT
Thiosulfate oxidation	core genes	soxA
Thiosulfate oxidation	core genes	soxB
Thiosulfate oxidation	core genes	soxD
Thiosulfate oxidation	core genes	soxX
Thiosulfate oxidation	core genes	soxY
Thiosulfate oxidation	associated with PQQ (co-factor used for methanol dehydrogenase)	soxYZ-like
Thiosulfate oxidation	core genes	soxZ
HYDROGEN	FeFeHydrogenase	FeFeHydrogenase
HYDROGEN	FeFeHydrogenase	FeFeHydrogenase_2
HYDROGEN	NiFe Hydrogenase	Hydrogenase_Group_1
HYDROGEN	NiFe Hydrogenase	Hydrogenase_Group_2a
HYDROGEN	NiFe Hydrogenase	Hydrogenase_Group_2b
HYDROGEN	NiFe Hydrogenase	Hydrogenase_Group_3b
HYDROGEN	NiFe Hydrogenase	Hydrogenase_Group_3c
HYDROGEN	NiFe Hydrogenase	Hydrogenase_Group_3d
HYDROGEN	NiFe Hydrogenase	Hydrogenase_Group_4
METHANE	particulate methane oxidation	pmoA
METHANE	particulate methane oxidation	pmoB
METHANE	particulate methane oxidation	pmoC
METHANE	soluble methane oxidation	mmoB
METHANE	soluble methane oxidation	mmoD
METHANE	methane production	mcrA
METHANE	methane production	mcrB
METHANE	methane production	mcrC
NITROGEN	Ammonia oxidation	amoA
NITROGEN	Ammonia oxidation	amoB
NITROGEN	Ammonia oxidation	amoC
NITROGEN	nitrogen fixation	nifA_Mo
NITROGEN	nitrogen fixation	nifB_Mo
NITROGEN	nitrogen fixation	nifH
NITROGEN	nitrite oxidation	nitrite_oxidoreductase_nxrA
NITROGEN	nitrite oxidation	nitrite_oxidoreductase_nxrB
NITROGEN	nitrate reduction	napA
NITROGEN	nitrate reduction	napB
NITROGEN	nitrate reduction	narG
NITROGEN	nitrate reduction	narH
NITROGEN	nitrite reduction	nrfH
NITROGEN	nitrite reduction	nrfA
NITROGEN	nitrite reduction	nirB
NITROGEN	nitrite reduction	nirD
NITROGEN	nitrite reduction	nirK
NITROGEN	nitrite reduction	nitrite_reductase_nirS
NITROGEN	nitric oxide reduction	nitric_oxide_reductase_norB
NITROGEN	nitric oxide reduction	nitric_oxide_reductase_norC
NITROGEN	nitrous oxide reduction	nosD
NITROGEN	nitrous oxide reduction	nosZ
NITROGEN	anammox	hydrazine_oxidase_hzoA
NITROGEN	anammox	hydrazine_synthase_hzsA
NITROGEN	Octaheme c-type cytochrome Shewanella-type	octR
NITROGEN	comammox	Comammox
UREA	Urease	ureA
UREA	Urease	ureB
UREA	Urease	ureC
OXYGEN	"Oxygen metabolism - cytochrome c oxidase, caa3-type "	coxA
OXYGEN	"Oxygen metabolism - cytochrome c oxidase, caa3-type "	coxB
OXYGEN	"Oxygen metabolism - cytochrome c oxidase, cbb3-type"	ccoN
OXYGEN	"Oxygen metabolism - cytochrome c oxidase, cbb3-type"	ccoO
OXYGEN	"Oxygen metabolism - cytochrome c oxidase, cbb3-type"	ccoP
OXYGEN	"Oxygen metabolism - cytochrome (quinone) oxidase, bo type"	cyoA
OXYGEN	"Oxygen metabolism - cytochrome (quinone) oxidase, bo type"	cyoD
OXYGEN	"Oxygen metabolism - cytochrome (quinone) oxidase, bo type"	cyoE
OXYGEN	"Oxygen metabolism - cytochrome (quinone) oxidase, bd type"	cydA
OXYGEN	"Oxygen metabolism - cytochrome (quinone) oxidase, bd type"	cydB
OXYGEN	"Oxygen metabolism - cytochrome (quinone) oxidase, aa3 type, QoxABCD"	qoxA
C1 METABOLISM	methanol oxidation	ndma_methanol_dehydrogenase
C1 METABOLISM	Methylamine --> Formaldehyde	madA
C1 METABOLISM	Methylamine --> Formaldehyde	madB
C1 METABOLISM	Formaldehyde oxidation	fdh_thiol_id
C1 METABOLISM	Formaldehyde oxidation	sfh
C1 METABOLISM	Formaldehyde oxidation	sgdh
C1 METABOLISM	Formaldehyde oxidation	smdh
C1 METABOLISM	Formaldehyde oxidation	fae
C1 METABOLISM	Formaldehyde oxidation	fmtf
C1 METABOLISM	Formaldehyde oxidation	mtmc
C1 METABOLISM	Formate oxidation	fdhA
C1 METABOLISM	Formate oxidation	fdhB
C1 METABOLISM	Formate oxidation	fdhC
C MONOXIDE	CO Oxidation	carbon_monoxide_dehydrogenase_coxL
C MONOXIDE	CO Oxidation	carbon_monoxide_dehydrogenase_coxM
C MONOXIDE	CO Oxidation	carbon_monoxide_dehydrogenase_coxS
CARBON FIXATION	CBB cycle - Rubisco	rubisco_form_I
CARBON FIXATION	CBB cycle - Rubisco	rubisco_form_II
CARBON FIXATION	CBB cycle - Rubisco	rubisco_form_II_III
CARBON FIXATION	CBB cycle - Rubisco	rubisco_form_III
CARBON FIXATION	CBB cycle - Rubisco	rubisco_form_IV
CARBON FIXATION	3HP/4HB	Four.hydroxybutyryl.CoA.dehydratase
CARBON FIXATION	3HP/4HB	Four.hydroxybutyryl.CoA.synthetase
CARBON FIXATION	Wood Ljundahl pathway	codhC
CARBON FIXATION	Wood Ljundahl pathway	codhD
CARBON FIXATION	Wood Ljundahl pathway	codh_catalytic
CARBON FIXATION	Reverse TCA cycle	acetate_citrate_lyase_aclA
CARBON FIXATION	Reverse TCA cycle	acetate_citrate_lyase_aclB
HALOGENATED COMPOUNDS	Halogenated compounds breakdown	hdh
HALOGENATED COMPOUNDS	Halogenated compounds breakdown	rdh
HALOGENATED COMPOUNDS	Chlorite reduction	cld
ARSENIC	Arsenite oxidation	ars_ox
ARSENIC	Arsenite oxidation	ars_ox_2
ARSENIC	Arsenate reduction	arsC
ARSENIC	Arsenate reduction	ars_thioredoxin
ARSENIC	Arsenate reduction	ars_glutaredoxin
SELENIUM	Selenate Reduction	ygfK
SELENIUM	Selenate Reduction	ygfM
SELENIUM	Selenate Reduction	sel_mo
NITRILES	Nitrile hydratase	nthA
NITRILES	Nitrile hydratase	nthB
METALS	Metal (Iron/Manganese) oxidation/Reduction	mtrA
METALS	Metal (Iron/Manganese) oxidation/Reduction	mtrC