MAG_name,Guilds
K_DeepCast_65m_m1_022,NOB
K_Offshore_120m_m2_006,NOB
K_Offshore_80m_m2_152,NOB
K_Offshore_120m_m2_108,NOB
M_DeepCast_65m_m2_224,NOB
K_Offshore_80m_m2_082,NOB
K_Offshore_80m_m2_094,NOB
K_DeepCast_65m_m2_193,NOB
K_Offshore_80m_m2_187,NOB
M_DeepCast_65m_mx_068,NOB
K_Offshore_80m_m1_189,NOB
K_Offshore_120m_m2_146,NOB
K_Offshore_80m_m2_218,NOB
K_DeepCast_65m_m2_033,NOB
M_DeepCast_50m_m2_018,NOB
K_Offshore_120m_m2_037,NOB
M_DeepCast_65m_m1_226,NOB
K_DeepCast_100m_m2_203,NOB
K_DeepCast_100m_m2_305,NOB
K_DeepCast_250m_m1_199,NOB
K_Offshore_80m_m2_183,NOB
K_Offshore_80m_m2_170,NOB
K_DeepCast_65m_m1_133,NOB
K_DeepCast_150m_m1_344,NOB
K_Offshore_80m_m1_122,NOB
M_DeepCast_50m_m1_244,NOB
M_DeepCast_65m_m2_071,NOB
M_DeepCast_65m_m2_204,NOB
M_DeepCast_50m_m1_133,NOB
K_DeepCast_250m_m1_333,NOB
K_Offshore_80m_m1_159,NOB
M_DeepCast_65m_m1_099,NOB
M_DeepCast_65m_m2_104,NOB
M_DeepCast_65m_m1_011,NOB
K_DeepCast_100m_mx_210,NOB
K_Offshore_80m_m2_003,NOB
K_Offshore_80m_m2_102,NOB
K_Offshore_80m_m2_121,NOB
M_DeepCast_65m_m2_155,NOB
M_DeepCast_65m_mx_150,comammox
K_Offshore_80m_m2_040,NOB
M_DeepCast_65m_m2_186,NOB
K_DeepCast_100m_m2_321,NOB
K_DeepCast_100m_m2_001,NOB
M_DeepCast_65m_mx_077,NOB
M_DeepCast_100m_m2_243,"NOB, Anammox"
M_DeepCast_65m_m2_011,NOB
K_DeepCast_100m_m2_328,NOB
M_DeepCast_400m_m2_341,NOB
M_DeepCast_400m_m2_165,NOB
K_DeepCast_100m_mx_218,NOB
M_DeepCast_200m_m2_025,NOB
K_DeepCast_300m_m2_173,NOB
M_DeepCast_65m_m2_014,NOB
M_DeepCast_65m_m2_001,NOB
K_DeepCast_150m_m2_164,NOB
K_Offshore_80m_m1_165,NOB
K_Offshore_120m_m2_058,NOB
K_DeepCast_250m_mx_148,NOB
M_DeepCast_200m_mx_295,NOB